the_sound_of_music;Музыка барокко;Musique baroque;Barockmusik;;Mъsica barroca;;;;;;;;;x;
desc_the_sound_of_music;Хотя времена могут быть тяжелыми, а порой и вовсе жестокими, наши подданные всегда смогут найти успокоение и утешение в музыке, которая начинает звучать даже в самых темных переулках нашего государства. От Баха до Генделя, наша страна живет под звуками музыки!;Les temps sont durs, mais nos sujets trouveront toujours du rйconfort dans la musique que l’on joue dйsormais jusque dans les ruelles les plus sombres de notre royaume. De Bach а Hдndel, la musique rйsonne dans tout $COUNTRY$ !;Die Zeiten mцgen kompliziert und zuweilen schwer sein, aber unsere Untertanen werden immer von der Musik aufgeheitert, die sogar in den dunkelsten Winkeln unseres Reiches wiederklingtVon Bach bis Hдndel, $COUNTRY$ erklingt vom Klang der Musik!;;Si bien los tiempos pueden ser difнciles y duros, nuestros sъbditos siempre hallarбn consuelo y solaz en la mъsica que empieza a sonar incluso en los mбs sombrнos callejones de nuestro reino. ЎDesde Bach hasta Hдndel, $COUNTRY$ se mueve al son de la mъsica!;;;;;;;;;x;
commission_medieval_tapestry_title;Заказать гобелен;Commande d’une tapisserie;Wandteppich ordern;;Encarga un tapiz;;;;;;;;;x;
commission_medieval_tapestry_desc;Смотрите! Сияющая в северном небе звезда обещает нашей стране светлое будущее. Давайте соединим историю нашей нации с нитями изо льна, и тогда Норны обязательно отразят их в своих нитях судьбы!;Voilа ! Une йtoile aperзue dans le ciel du nord prйdit un brillant avenir а notre pays. Tissez l’histoire de notre nation en fils de lin et elle se reflиtera sыrement sur les fils du destin des Nornes.;Ein Stern, der am nцrdlichen Himmel zu sehen ist weiЯt unserem Land den Weg zu einer glorreichen Zukunft. Webt die Geschichte unserer Nation in Fдden aus Leinen, und die Weberinnen des Schichsals werden ihnen folgen.;;ЎMirad! Una estrella del norte presagia el brillante futuro de nuestro paнs. Teje la historia de nuestra naciуn con hilos de lino, y seguramente las nornas lo reflejarбn en su tapiz del destino.;;;;;;;;;x;
medieval_tapestry;Прекрасный гобелен;Une magnifique tapisserie;Ein wunderschцner Wandteppich;;Un hermoso tapiz;;;;;;;;;x;
desc_medieval_tapestry;Огромный гобелен, на котором изображены важнейшие события в истории нашей страны, украсил собой стену нашего дворца в столице. Хоть он и великолепен, со временем он перестанет быть полезен как инструмент пропаганды.;Une imposante tapisserie reprйsentant des йpisodes marquants de l’histoire de notre nation est suspendue quelque part dans la capitale. Malgrй sa splendeur, le temps finira par la rendre aussi obsolиte qu’un instrument de propagande.;Ein groЯartiger Wandteppich, der wichtige Abschnitte in unserer Geschichte darstellt, wurde in eurer Hauptstadt aufgehдngt. Wдhrend er natьrlich schцn ist, wird in der Lauf der Geschichte als Propagandainstrument irgendwann unbrauchbar werden lassen.;;Un gran tapiz, que representa importantes eventos en la historia de nuestra naciуn, estб colgado en alguna parte de la capital. Si bien es esplendoroso, este tiempo de cambios acabarб volviйndolo obsoleto como instrumento de propaganda.;;;;;;;;;x;
gild_icons_title;Начать создание золоченых икон;Iconographie dorйe;Vergoldete Bilddeutung;;Iconografнa dorada;;;;;;;;;x;
gild_icons_desc;Преобразование наших церквей из мест простого отправления религиозного культа в выставки произведений искусства. Оказав покровительство созданию собственной традиции иконографии, мы можем стать маяком культуры для всего христианского мира!;Transformez les simples lieux de culte que sont nos йglises en њuvres d’art. En soutenant la tradition locale de l’iconographie, nous pouvons devenir l’emblиme culturel de la chrйtientй !;Verwandelt unsere Kirchen von einfachen Betstдtten zu Kunstwerken. Indem wir die lokale Bilddeutung fцrdern, kцnnen wir zu einer Hochburg der Christenheit werden!;;Transforma nuestras iglesias de simples lugares de culto en obras de arte. ЎAl ofrecer nuestro mecenazgo a la tradiciуn iconogrбfica nativa, podemos convertirnos en el sнmbolo cultural de la cristiandad!;;;;;;;;;x;
gilded_iconography;Золоченая иконография;Iconographie dorйe;Vergoldete Bilddeutung;;Iconografнa dorada;;;;;;;;;x;
desc_gilded_iconography;Наша иконографическая традиция, может быть, немного дороговата, но зато великолепие наших церквей не имеет себе равных.;Notre tradition iconographique est peut-кtre un peu coыteuse, mais la splendeur de nos йglises est sans йgale.;Unsere Tradition in der Bilddeutung mag etwas teuer sein, aber die Pracht unserer Kirchen ist unerreicht.;;Nuestra tradiciуn iconogrбfica quizб sea algo cara, pero el esplendor de nuestras iglesias no tiene rival.;;;;;;;;;x;
iconoclasm_title;Начать иконоборчество;Iconoclasme;Ikonoklasmus;;Iconoclastia;;;;;;;;;x;
iconoclasm_desc;Иисус Христос был сыном простого плотника, однако наши священники украшают храмы золотом и безделушками. Как Иисус изгнал менял из Иерусалимского храма, так и мы должны изгнать иконы из наших церквей. Слишком долго мы позволяли священникам расточительно тратить деньги на всякие излишества. Мы должны продемонстрировать монахам подлинный смысл урока аскезы, когда-то преподанного нашим Спасителем! Круши иконы!;Jйsus n’йtait qu’un homme. Pourtant, nos prкtres n’hйsitent pas а orner nos lieux de culte d’or et d’objets de parure. Comme Jйsus qui chassa les changeurs de monnaie du temple d’Hйrode, chassez-les du nфtre. Ces somptueux excиs de l’Йglise ont assez durй ! Montrez au clergй le sens vйritable de l’exemple ascйtique dйfini par notre Sauveur ! Dйtruisez les icфnes !;Jesus war ein einfacher Mann, aber unsere Priester beten in Kirchen voller Gold und Kunstschдtzen.  So wie Jesus die Geldwechsler aus Herodesґ Tempel vertrieb, so sollten wir sie auch aus unseren vertreiben. Die unerhцhrten Exzesse der Kirche haben lange genug gedauert! Zeigt dem Klerus die wirkliche Bedeutung des Glaubens, den unser Retter gezeigt hat. Verbannt die Ikonen!;;Jesъs era un hombre sencillo, sin embargo nuestros sacerdotes adornan nuestros templos con oro y baratijas. Igual que Jesъs echу a los mercaderes del templo de Herodes, deshagбmonos de los nuestros. ЎEl derroche excesivo de la Iglesia ha durado demasiado! ЎEnseсa al clero el autйntico significado del ascetismo de nuestro salvador! ЎDestruye los iconos!;;;;;;;;;x;
austere_religious_tradition;Строгая религиозность;Austиre religiositй;Strenge Religiцsitдt;;Austeridad religiosa;;;;;;;;;x;
desc_austere_religious_tradition;Со времен великого иконоборчества наша религиозная традиция занимается внутренним содержанием, а не внешним исполнением. Наполненная внутренней жизнью, наша вера может показаться мрачной и унылой для непосвященных.;Depuis le grand iconoclasme, notre tradition religieuse prфne la contemplation intйrieure au dйtriment de l’йtalage extйrieur. Malgrй sa richesse intйrieure, notre tradition peut sembler austиre pour les non-initiйs.;Seit dem groЯen Ikonoklasmus ist unsere Religionstradition eine der inneren Bedachtsamkeit und nicht der дuЯerlichen Schaustellung. Unsere Tradition mag дuЯerlich kьmmerlich erscheinen, aber hat ein reiches Innenleben.;;Desde que se impuso la iconoclastia, nuestra tradiciуn religiosa ha sido de contemplaciуn interior, mбs que de ostentaciуn exterior. Aunque rica en vida interior, nuestra tradiciуn quizб parezca gris a los no iniciados.;;;;;;;;;x;
way_of_tea;Путь чая;La Voie du Thй;Der Weg des Tees;;La ceremonia del tй;;;;;;;;;x;
desc_way_of_tea;В тепле тысячи чайных домов, где подают обжигающе горячие чашечки чая с намеком на божественное благословение, наш народ обретает покой и отдых.;Dans la chaleur d’un millier de maisons du thй, notre peuple trouve repos et dйtente, avec une touche de divin et des tasses de thй fumant.;In der Wдrme von tausend Teehдusern finden unsere Menschen Ruhe und Ablenkung, serviert mit einer Prise des Ьbernatьrlichen, und dampfenden Tassen Tee.;;Al calor de un millar de casas de tй, nuestro pueblo halla descanso y esparcimiento, servido con un poco de las divinas y humeantes tazas de tй.;;;;;;;;;x;
develop_way_of_tea_title;"Создать традицию ""Пути чая""";La Voie du Thй;Der Weg des Tees;;La ceremonia del tй;;;;;;;;;x;
develop_way_of_tea_desc;Хотя чай выращивался в Японии как минимум с IX столетия, изысканная эстетика чайной церемонии Тя-но-ю, или Пути чая, была разработана полностью только в начале XIV века. Частично религиозный ритуал, частично культурная традиция, Путь чая может стать неотъемлемой частью нашего культурного наследия.;Si le thй est cultivй au Japon depuis le IXe siиcle au moins, l’esthйtique plus raffinйe du Chanoyu, la Voie du Thй, date du dйbut du XVe siиcle. Mi cйrйmonie religieuse, mi tradition culturelle, la Voie du Thй pourrait devenir partie intйgrante de notre hйritage culturel.;Wдhrend Tee schon zumindest seit dem 9. Jahrhundert in Japan angebaut wurde gibt es den genau festgelegten, дstethischen Weg des Tees, den Chanoyu, erst seit dem frьhen 15. Jahrhundert. Teil religiцse Zeremonie und Teil Kulturtradition kцnnte der Weg des Tees ein wichtiger Bestandteil unseres Kulturerbes werden.;;Aunque el tй se cultiva en Japуn desde el siglo IX al menos, la estйtica mбs refinada del Chanoyu, el ritual del tй, no se desarrollу por completo hasta principios del siglo XV. En parte ceremonia religiosa, en parte tradiciуn cultural, el rito del tй podrнa convertirse en parte integral de nuestra herencia cultural.;;;;;;;;;x;
develop_diwani_script_title;Разработать стиль дивани;Calligraphie divani;Diwanischrift;;Caligrafнa diwani;;;;;;;;;x;
develop_diwani_script_desc;Рукописный стиль арабской каллиграфии, созданный в Османской империи в XV-XVI веках, шрифт дивани получил свое имя благодаря активному использованию его в текстах султанских указов, изданных Диваном, правительством Блистательной Порты. Мы можем укрепить наше правление, публикуя указы, равно как и слово Аллаха, в гармонии с каллиграфией.;Style calligraphique arabe originaire de l’Empire ottoman des XVe et XVIe siиcles, l’йcriture divani doit son nom а son utilisation sur les dйcrets royaux йmis par le divan, le gouvernement de l’Йtat ottoman. Renforcez notre domination en proclamant nos йdits, ainsi que la parole de Dieu, dans l’harmonie de la calligraphie.;Ein kursiver Stil der arabischen Schцnschrift entstand im Ottomanischen Reich des 15. und 16. Jahrhunderts. Die Diwanischrift wurde benannt nach seiner vorgesehen Nutzung bei kцniglichen Anordnungen des ottomanischen Diwan, dem Kabinett des Staates. Stдrkt unsere Herrschaft mit euren Verordungen, und das Wort Gottes mit dem Glanz der Schцnschrift.;;Un estilo cursivo de caligrafнa бrabe, originado en el Imperio Otomano de los siglos XV y XVI, la caligrafнa diwani fue llamada asн al estar destinada a su uso en reales decretos promulgados por el Diwan otomano, el gabinete del estado otomano. Afianza nuestra soberanнa proclamando edictos, y la palabra de Dios, con una caligrafнa armoniosa.;;;;;;;;;x;
diwani_script;Каллиграфический стиль дивани;Calligraphie divani;Die Diwanischrift;;La caligrafнa diwani;;;;;;;;;x;
desc_diwani_script;Все наши решения и указы получают оформление в тексте с использованием замысловатого стиля каллиграфии, и люди уважают нас за это.;Tous nos йdits et dйcrets sont йmis dans un style calligraphique йlaborй, ce qui nous vaut le plus grand respect.;Alle unsere Anordnungen und Erlдsse werden im Stil einer kunstvollen Schцnschrift erstellt, und die Leute respektieren uns dafьr.;;Todos nuestros edictos y decretos se emiten con una elaborada caligrafнa, y el pueblo nos respeta por ello.;;;;;;;;;x;
support_dutch_masters_title;Поддержать голландских художников;Вge d’or de la peinture hollandaise;Goldenes Zeitalter der hollдndischen Malkunst;;Edad de oro de la pintura holandesa;;;;;;;;;x;
support_dutch_masters_desc;Республика Соединенных провинций недавно получила независимость, обратилась к кальвинизму и оказалась под сильным влиянием гуманистической мысли и философии. В конце XVI века появились все предпосылки для разрыва с прежними художественными традициями и идеалами старой католической Европы. Оседлав волну богатства, накатывающую на нас благодаря быстро развивающейся торговле Амстердама, мы можем помочь наступлению золотого века голландской живописи.;La Rйpublique hollandaise, devenue calviniste, indйpendante et dominйe par de puissants courants humanistes et philosophiques, avait а la fin du XVIe siиcle dйfini les fondements philosophiques d’une rupture avec les traditions artistiques йtablies et les idйaux de la vieille Europe catholique. Profitant des richesses engendrйes par le dйveloppement du commerce via Amsterdam, nous pourrions contribuer а introduire un вge d’or de la peinture hollandaise.;Die Niederlдndische Republik, seit kurzem kalvinistisch und unabhдngig, sowie mit starker Ausprдgung humanistischen Denkens und Philosophie, hat im spдten 16. Jahrhundert die philosophische Szene fьr einen Bruch mit der etablierten kьnstlerischen Tradition und den Idealen des alten, katholischen Europa gesetzt. Auf dem Rьcken des Reichtums durch den sich entwickelnden Handels durch Amsterdam kцnnten wir helfen, ein goldenes Zeitalter fьr hollдndische Malkunst einzulдuten.;;La Repъblica Holandesa, recientemente calvinista e independiente, y con un sуlido trasfondo de pensamiento y filosofнa humanнsticos, sentу a finales del siglo XVI las bases filosуficas para una ruptura con las tradiciones artнsticas e ideales establecidos de la antigua Europa catуlica. Sirviйndonos de la riqueza resultante del creciente comercio a travйs de Бmsterdam, podrнamos contribuir al inicio de una edad de oro de la pintura holandesa.;;;;;;;;;x;
dutch_masters;Золотой век голландской живописи;L’вge d’or de la peinture hollandaise;Das goldene Zeitalter der hollдndischen Malkunst;;La edad de oro de la pintura holandesa;;;;;;;;;x;
desc_dutch_masters;Мы оказали финансовую поддержку голландским мастерам живописи.;Nous apportons notre soutien financier aux maоtres hollandais de la peinture.;Wir unterstьtzen die niederlдndischen Malkьnstler in Holland finanziell;;Estamos apoyando econуmicamente a los maestros pintores holandeses.;;;;;;;;;x;
charter_guild_of_st_luke_title;Учредить гильдию Святого Луки;Fondation d’une guilde de Saint Luc;Setzt eine Gilde des St. Luke ein;;Crea una cofradнa de San Lucas;;;;;;;;;x;
charter_guild_of_st_luke_desc;Покровитель художников, апостол Лука, часто давал свое имя объединениям художников Западной Европы, наиболее известным из которых была антверпенская. Учреждение такой гильдии в нашей стране может быть слегка дорогостоящим делом, но ее культурные плоды смогут покрыть все траты. Создание управленческого аппарата гильдии также укрепит нашу бюрократическую традицию.;Saint Luc, patron des artistes, a souvent prкtй son nom а des guildes d’artistes d’Europe occidentale, la plus cйlиbre йtant probablement celle d’Anvers. La fondation d’une guilde ici, en $COUNTRY$, coыtera cher, mais ses bйnйfices culturels seront visibles de tous. Le dйveloppement de la bureaucratie de la guilde renforcera йgalement notre tradition bureaucratique locale.;St. Luke, der Schutzheilige der Kьnstler, hat seinen Namen oft Kьnstlergilden in Westeuropa geliehen, die wahrscheindlich bekannteste davon in Antwerpen. Hier in$COUNTRY$ eine Gilde zu schaffen mag ein wenige teuer sein, aber die kulturellen Vorteile wird fьr alle sichtbar sein. Die Entwicklung der Bьrokratie der Gilde wird auch unsere bьrokratische Tradition stдrken.;;San Lucas, el santo patrуn de los artistas, prestу a menudo su nombre a cofradнas de artistas de Europa Occidental, la mбs famosa de las cuales, tal vez, estaba en Antwerp. Crear una cofradнa aquн en $COUNTRY$ quizб sea un poco caro, pero el beneficio cultural serб visible para todos. Desarrollar la burocracia de la cofradнa tambiйn reforzarб nuestra tradiciуn burocrбtica nativa.;;;;;;;;x;;
guild_of_st_luke;Гильдия Святого Луки;La guilde de Saint Luc;Die Gilde des St. Luke ;;La cofradнa de San Lucas;;;;;;;;;x;
desc_guild_of_st_luke;Святой покровитель всех художников помогает нашей стране. Члены гильдии Святого Луки поставили на поток создание шедевров, что день за днем укрепляет наши культурные традиции!;Le saint patron des artistes protиge $COUNTRY$. Les artistes de la guilde de Saint Luc crйent des chefs-d’њuvre pour renforcer notre tradition culturelle !;Der Schutzheilige der Kьnstler hдlft seine Hдnde schьtzend ьber $COUNTRY$. Die Kьnstler in der Gilde von St. Luke erschaffen Meisterwerke, um unsere kulturelle Tradition zu erweitern!;;El santo patrуn de los artistas lleva de su mano a $COUNTRY$. ЎLos artistas de la Cofradнa de San Lucas estбn produciendo multitud de obras maestras para reforzar nuestra tradiciуn cultural!;;;;;;;;;x;
hold_the_last_jousting_tournament_title;Провести последний рыцарский турнир;Le dernier tournoi de joutes;Das letzte Turnier;;El ъltimo torneo de justas;;;;;;;;;x;
hold_the_last_jousting_tournament_desc;"Времена изменились, мы это чувствуем. Скоро наша кавалерийская элита станет не более чем воспоминанием, ведь рыцарские традиции постепенно отступают под натиском современности. Мир меняется, но сегодня, пусть в последний раз, но прозвучит клич: ""Рыцари, вперед!""";Nous sentons le vent tourner. Bientфt, notre йlite йquestre ne sera plus qu’un souvenir, car la tradition chevaleresque s’йteint sous les assauts de la modernitй. Le monde change, mais pour l’instant, pour la derniиre fois : place aux chevaliers de $COUNTRY$ !;Wir kцnnen es im Wind fьhlen. Bald wird unserer Elite nichts weiter als ein Draum sein, an den man sich erinnert, wдhrend die Traditionen der Ritterlichkeit vor dem Ansturm der Moderne untergeben. Die Welt дndert sich, aber jetzt, ein letztes Mal: Lasst die Ritter von $COUNTRY$ reiten!;;Se siente en el aire. Pronto nuestra elite ecuestre no serб sino un recuerdo, pues la tradiciуn caballeresca desaparece ante la acometida de la modernidad. El mundo estб cambiando, pero por una ъltima vez: ЎQue cabalguen los caballeros de $COUNTRY$!;;;;;;;;;x;
the_last_joust;Последний рыцарский турнир;Le dernier tournoi de joutes;Das letzte Turnier;;El ъltimo torneo de justas;;;;;;;;;x;
desc_the_last_joust;И хотя рыцари могут еще на некоторое время быть частью нашей армии, те рыцарские традиции, которые они отстаивали столько долго, уже умирают.;Les chevaliers font encore partie de notre armйe, mais les traditions qu’ils perpйtuaient depuis si longtemps s’йteignent.;Wдhrend die Ritter noch eine Zeit lang Teil unserer Armee sein mцgen, die Traditionen, die sie so lange aufrechterhalten haben sterben langsam aus.;;Aunque los caballeros pueden seguir formando parte de nuestro ejйrcito por algъn tiempo, la tradiciуn caballeresca que defendieron tanto tiempo estб desapareciendo.;;;;;;;;;x;
NOCLAIMLESSER;Мы не можем выдвигать претензии на трон, будучи младшим партнером в личной унии.;Vous ne pouvez pas revendiquer un trфne en tant que membre secondaire d’une union personnelle.;Ihr kцnnt als Juniorpartner keine Throne beanspruchen;;No puedes reclamar tronos como socio menor de una uniуn personal.;;;;;;;;;x;
EVTNAME3097;Ожидаемое восстание;Soulиvement de rebelles $LIKELYREBELS$ !;$LIKELYREBELS$ Rebellenaufstand!;;ЎInsurrecciуn $LIKELYREBELS$!;;;;;;;;;x;
EVTDESC3097;Армии предателей успешно захватили несколько провинций в нашей расползающейся на части империи, и потому $LIKELYREBELS$ в провинции $PROVINCENAME$ решили, что они могут пролить нашу кровь, и присоединились к повстанцам.;Suite а l’occupation de provinces de notre empire tentaculaire par des armйes de traоtres, des rebelles $LIKELYREBELS$ de $PROVINCENAME$, attirйs par l’odeur du sang, ont rejoint les autres mйcontents pour se rйvolter.;Mit einigen Provinzen unseres groЯen Reichs in der Hand von Verrдtern haben $LIKELYREBELS$ Rebellen in $PROVINCENAME$ Blut geleckt und haben sich ebenfalls in einer Revolte erhoben.;;Con ejйrcitos traidores habiendo ocupado con йxito provincias de nuestro desperdigado imperio, los rebeldes $LIKELYREBELS$ en $PROVINCENAME$ ya huelen la sangre y se han unido a otros descontentos en la revuelta.;;;;;;;;;x;
EVTOPTA3097;Шакалы! Стервятники!;Les chacals ! Les vautours !;Aasgeier!;;ЎChacales! ЎBuitres!;;;;;;;;;x;
florentine_school;Поддержка флорентийской школы;Soutien de l’йcole florentine;Unterstьtzt die Florentinische Schule;;Apoyando a la escuela florentina;;;;;;;;;x;
desc_florentine_school;Флорентийской школой называли направление в итальянском искусстве, известное благодаря своему натуралистическому стилю и фрескам. Оно выросло из творчества таких художников, как Донателло, Микеланджело и Брунеллески. Мы поддерживаем это направление, и весь мир знает об этом.;Cйlиbre pour son style naturaliste et ses peintures murales, l’йcole florentine est une йcole de peinture italienne initiйe par des artistes comme Donatello, Michel-Ange et Brunelleschi. $COUNTRY$ soutient ces artistes et le monde le sait.;Die Florentinische Schule war eine italienische Kunstschule, am bekanntesten fьr ihren naturalistischen Stil und ihre Wandmalereien von Kьnstlern wie Donatello, Michelangelo und Brunelleschi. $COUNTRY$ unterstьtzt diese Kьnstler damit es alle Welt erfдhrt.;;La escuela florentina fue una escuela de arte italiana, mбs famosa quizб por su estilo naturalista y sus murales, que surgiу de la obra de artistas como Donatello, Miguel Бngel y Brunelleschi. $COUNTRY$ apoya a estos artistas, y el mundo lo sabe.;;;;;;;;;x;
support_florentine_school_title;Поддержать флорентийскую школу;Soutien de l’йcole florentine;Unterstьtzt die Florentinische Schule;;Apoya a la escuela florentina;;;;;;;;;x;
support_florentine_school_desc;Будучи богатыми и благородными людьми, мы можем поддержать итальянских художников из флорентийской школы. Тем самым мы создадим о себе впечатление как о покровителе мирового искусства, что окажет большую помощь нашей пропаганде.;Notre relative importance nous permet de soutenir les artistes italiens de l’йcole florentine. Le fait d’кtre perзus comme des mйcиnes de l’art international soutiendra nos efforts de propagande.;Aufgrund unserer relativen Bekanntheit sind wir in der Position, die italienischen Kьnstler der Florentinischen Schule zu unterstьtzen. Als Patron der internationalen Kunst angesehen zu werden wird unserer Propaganda helfen.;;Dada nuestra relativa notabilidad, estamos en posiciуn de ayudar a los artistas italianos de la escuela florentina. Ser tenidos por mecenas del arte internacional ayudarб sin duda a nuestros esfuerzos propagandнsticos.;;;;;;;;;x;
court_byzantine_refugees_title;Принять изгнанников из Византии;Rйfugiйs byzantins;Flьchtlinge aus Byzanz;;Refugiados bizantinos;;;;;;;;;x;
court_byzantine_refugees_desc;Мой государь, Византия пала под ударами сарацинов. Последний бастион Римской империи, Константинополь, теперь находится в руках турок. Пока христианский мир приходит в себя от шока, беженцы из Византии стекаются в города и ко дворам Европы, неся с собой как старые манускрипты классической мысли - трактаты Аристотеля, Платона, Галена, - так и доскональное знание греческого и латинского языков. Приглашение этих беженцев может оказать нам огромную помощь в научных и культурных разработках.;Mon seigneur, Byzance est tombй aux mains des Sarrasins. Le dernier bastion de l’Empire romain, la ville de Constantine, est dйsormais aux mains des Turcs. Tandis que la chrйtientй chancиle sous le choc, les rйfugiйs byzantins affluent dans les villes et cours d’Europe, avec dans leurs bagages de vieux manuscrits classiques, des traitйs d’Aristote, Platon et Galien, et une grande connaissance du latin et du grec. En invitant ces rйfugiйs en $COUNTRY$, nos efforts dans les domaines de la culture et de la science seraient considйrablement renforcйs.;Mein Herr, Byzanz ist an die Sarazenen gefallen. Die letzte Bastion des rцmischen Reichs, die Stadt von Konstantin, ist nun in tьrkischen Hдnden. Wдhrend sich das Christentum von diesem Schock erhohlt strцmen Flьchtlinge aus Byzanz zu den Stдdten und Hцfen Europas und bringen Manuskripte klassischen Wissens von Aristotle, Plato und Galen, sowie ein grьndliches Verstдndnis von Latein und Griechisch. Wenn wir diese Flьchtlinge nach $COUNTRY$ einladen kцnnten wir sowohl unsere Kultur als auch unsere Forschung stдrken.;;Mi Seсor, los sarracenos han tomado Bizancio. El ъltimo bastiуn del Imperio Romano, la ciudad de Constantina, se halla ahora en manos turcas. Mientras la cristiandad se recupera de la impresiуn, refugiados bizantinos acuden en masa a las ciudades y cortes de Europa, trayendo con ellos antiguos manuscritos de saber clбsico, tratados de Aristуteles, Platуn y Galeno, y un profundo conocimiento del latнn y el griego. Acoger a dichos refugiados en $COUNTRY$  podrнa dar un enorme impulso a nuestros propios esfuerzos en los campos de la cultura y la ciencia.;;;;;;;;;x;
byzantine_influx;Приток византийцев;Afflux de Byzantins;Einwanderer aus Byzanz;;Influjo bizantino;;;;;;;;;x;
desc_byzantine_influx;По всем городам и весям Европы распространяется воззвание к потерявшимся детям Константинополя с приглашением искать прибежище и начинать новую жизнь в наших городах. Они приносят с собой понимание классической цивилизации, что помогает нашим научным и культурным исследованиям.;$COUNTRY$ proclame dans toute l’Europe que les enfants perdus de la ville de Constantine sont invitйs а trouver refuge et а entamer une nouvelle vie dans nos villes. Ils apportent avec eux une comprйhension de la civilisation classique qui aidera nos recherches.;Eine Anordnung wurde von $COUNTRY$ aus ьberall in Europa verkьndet, dass die verlorenen Kinder des Stadt Konstantins in unsere Stдdten willkommen sind. Sie werden ein Verstдndnis von klassischer Zivilisation mitbringen, das unsere Forschung unterstьtzen wird.;;Una proclama procedente de $COUNTRY$ ha cruzado toda Europa, invitando a los hijos perdidos de la ciudad de Constantina a buscar refugio y una nueva vida en nuestras ciudades. Traen con ellos un conocimiento de la civilizaciуn clбsica que ayuda a nuestra investigaciуn.;;;;;;;;;x;
commission_epic_to_monarch_title;Написать эпическую поэму;Йpopйe nationale;Nationales Epos;;Epopeya nacional;;;;;;;;;x;
commission_epic_to_monarch_desc;Наши подданные рассказывают истории и легенды об одном из наших правителей. Говорят, что в тяжелые для страны времена $RANDOM_OLD_MONARCH$ вернется и спасет нас от зла. Вне зависимости от того, правда это или вымысел, мы можем использовать эти рассказы в своей пропаганде.;Nos sujets racontent des histoires et des lйgendes sur $RANDOM_OLD_MONARCH$. La lйgende dit qu’aux heures les plus sombres de l’histoire de $COUNTRY$, il reviendra pour libйrer notre nation du mal. Quelle que soit la vйracitй de cette affirmation, nous pourrions l’utiliser pour notre propagande.;Unsere Untertanen haben begonnen, Geschichten und Legenden ьber $RANDOM_OLD_MONARCH$ zu erzдhlen. Die Legende besagt, dass er in der dunkelsten Stunde von $COUNTRY$ zurьckkehren wird, um es zu erretten. Ob wahr oder nicht, wir kцnnen das fьr unsere Propaganda nutzen.;;Nuestros sъbditos han empezado a contar historias y leyendas sobre $RANDOM_OLD_MONARCH$. Cuenta la leyenda que en la hora mбs funesta de $COUNTRY$, йl volverб a nuestra naciуn, y la librarб del mal. Sea o no cierto eso, podrнamos usarlo en nuestra propaganda.;;;;;;;;;x;
epic_to_monarch;Эпическая поэма;Йpopйe nationale;Nationales Epos;;Epopeya nacional;;;;;;;;;x;
desc_epic_to_monarch;Создана эпическая поэма, описывающая жизнь одного из наших прежних монархов.;Il existe une йpopйe йcrite en hommage а un ancien roi de notre pays et qui raconte sa vie et sa lйgende.;Es gibt ein Epos, geschrieben als Tribut an einen alten Kцnig, das von seinem Leben uns seiner Legende erzдhlt.;;Hay una epopeya escrita en honor a un antiguo rey nuestro, que cuenta su vida y milagros.;;;;;;;;;x;
enlightenment_movement;Свобода, равенство и братство;Libertй, Йgalitй, Fraternitй;Libertй, Egalitй, Fraternitй;;Libertй, Йgalitй, Fraternitй;;;;;;;;;x;
desc_enlightenment_movement;Подобно могучему факелу, несущему свет разума даже в самые темные уголки Старого и Нового Света, идеи Просвещения распространяются по всему миру. Вооружившись наукой, разумом и непоколебимой верой в человеческий потенциал, просветители обещают старым королям и епископам увядание, а людям - свободу. Будучи просвещенным монархом, $MONARCH$, конечно же, поддерживает эти идеи.;А l’instar d’un puissant flambeau apportant l’йclairage de la raison dans les recoins les plus sombres de l’ancien et du nouveau mondes, les Lumiиres se propagent partout. Grвce а la science, а la raison et а une foi sans faille dans le potentiel de l’humanitй comme arme, elles promettent de chasser les anciennes couronnes et autres croix afin de libйrer l’Homme. En tant que souverain йclairй, $MONARCH$ soutient йvidemment ce mouvement.;Wie eine mдchtige Fakel, die das Licht der Erleuchtung in die dunkelsten Ecken  der alten und neuen Welt bringt, verbreitet sich die Aufklдrung ьber die Welt. Wissenschaft und der Glaube an das Potenzial der Menschen sind ihre Waffen, und sie verspricht, die alten Kronen und Kreuze zu Fall zu bringen, fьr die Freiheit des Menschen. Der aufgeklдrte Herrscher $MONARCH$ unterstьtzt dies natьrlich.;;Como una enorme antorcha, trayendo la luz de la razуn incluso a los rincones mбs sombrнos del viejo y nuevo mundo, la Ilustraciуn atraviesa el mundo. Con la ciencia, la razуn y una firme creencia en el potencial de la humanidad como sus armas, promete aplastar las viejas cruces y coronas, y liberar al hombre. Como el soberano ilustrado que es, $MONARCH$, por supuesto, la apoya.;;;;;;;;;x;
support_enlightenment_movement_title;Поддержать Просвещение;Libertй, Йgalitй, Fraternitй;Libertй, Egalitй, Fraternitй;;Libertй, Йgalitй, Fraternitй;;;;;;;;;x;
